# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	17803
#@/user_id	cf997197-045b-493e-a5f1-5892b82db517
im 	没	c=29 d=1.02366 t=17734
imc 	没	c=1 d=1 t=6388
ime 	滑	c=2 d=1.00001 t=8619
imj 	测	c=25 d=1.00018 t=15944
imjh 	测	c=1 d=1 t=11161
imqa 	没错	c=1 d=1 t=5989
infy 	漏	c=5 d=4.87745 t=16542
inr 	汤	c=1 d=1 t=699
ip 	学	c=65 d=1.17306 t=16585
ipgh 	淀	c=1 d=1 t=17094
ipkf 	堂	c=2 d=1.81058 t=17739
ipkh 	常	c=17 d=1.45304 t=16778
ipm 	沉	c=1 d=1 t=17092
ipmq 	常见	c=4 d=1.02226 t=12470
ipmq 	觉	c=8 d=1.40252 t=16250
ipq 	沈	c=1 d=1 t=5990
iptg 	学生	c=1 d=0.146554 t=8058
ipw 	深	c=1 d=1 t=218
iq 	光	c=6 d=4.63002 t=17699
iqc 	沟	c=7 d=1.03878 t=10990
iqn 	泡	c=1 d=1 t=11649
iqny 	耀	c=6 d=1 t=16870
iqr 	淘	c=1 d=1 t=10514
iqwl 	盜	c=1 d=1 t=15317
iry 	激	c=3 d=1.1054 t=5945
is 	洒	c=1 d=1 t=17716
it 	少	c=4 d=1.00007 t=17491
itd 	活	c=13 d=1 t=17749
itf 	洗	c=1 d=1 t=16622
itp 	泛	c=1 d=1 t=8665
itr 	少	c=1 d=1 t=6874
iux 	滋	c=1 d=1 t=15855
iv 	当	c=7 d=1.83534 t=16207
ix 	涨	c=1 d=1 t=6947
iy 	注	c=11 d=2.61546 t=16698
iyc 	流	c=198 d=1.01946 t=16986
iyh 	汴	c=1 d=1 t=15657
iyjh 	浏	c=3 d=1 t=15938
j 	是	c=151 d=1.84071 t=17778
ja 	虹	c=7 d=1.32792 t=17081
jaw 	暴	c=2 d=1.77105 t=8332
jb 	最	c=5 d=1.97095 t=17582
jc 	紧	c=1 d=1 t=11954
jd 	晨	c=3 d=1 t=17314
je 	明	c=32 d=1.19951 t=17492
jep 	暧	c=1 d=1 t=8012
jf 	时	c=28 d=1.52441 t=17067
jfd 	里	c=23 d=1.73513 t=16125
jfj 	旱	c=1 d=1 t=12256
jg 	量	c=12 d=4.64882 t=17362
jgf 	旦	c=1 d=1 t=5145
jghm 	题	c=41 d=2.71014 t=17075
jgm 	师	c=17 d=1.43317 t=16389
jh 	早	c=2 d=1 t=8814
jhgm 	早现	c=1 d=1 t=8890
jhk 	申	c=6 d=1.84909 t=6098
jjjj 	日	c=6 d=1 t=16963
jmd 	映	c=1 d=1 t=11772
jn 	电	c=5 d=1 t=16122
jnx 	昵	c=5 d=1 t=11507
jo 	显	c=5 d=1.02248 t=11975
jp 	晕	c=1 d=1 t=7729
jq 	晚	c=6 d=2.01327 t=17710
jqj 	蟓	c=1 d=1 t=955
jqr 	易	c=1 d=1 t=10161
js 	果	c=23 d=1.44696 t=16277
